Price,Close,High,Low,Open,Volume
Ticker,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS
Date,,,,,
2021-09-23,549.03,561.34,541.29,544.18,2972174
2021-09-24,533.21,559.40,530.30,554.23,2060320
2021-09-27,559.30,564.18,527.86,537.31,4006234
2021-09-28,560.99,569.00,550.57,562.16,3201270
2021-09-29,576.57,586.57,553.48,559.70,7652860
2021-09-30,579.23,591.34,574.63,578.41,4623200
2021-10-01,589.03,591.04,557.21,577.11,2352386
2021-10-04,591.74,598.56,589.05,589.05,1668462
2021-10-05,603.48,604.83,582.59,589.55,2303834
2021-10-06,598.56,626.87,595.42,619.30,6124484
2021-10-07,599.95,607.98,596.52,607.98,1637240
2021-10-08,605.65,614.92,601.24,602.49,2124984
2021-10-11,602.91,612.36,600.99,607.96,889294
2021-10-12,604.97,610.92,597.01,602.89,1542138
2021-10-13,600.87,616.89,600.15,609.45,1605146
2021-10-14,593.38,610.70,591.17,605.97,1471172
2021-10-18,608.90,614.35,592.04,602.89,2265824
2021-10-19,588.23,613.95,584.58,609.45,1598562
2021-10-20,575.75,591.22,572.14,589.55,1082584
2021-10-21,587.16,596.29,569.23,576.09,1584898
2021-10-22,604.18,605.94,583.08,589.55,2369426
2021-10-25,598.23,611.44,587.11,606.96,1715806
2021-10-26,627.34,631.07,600.92,600.92,4529824
2021-10-27,630.72,638.31,623.01,630.85,2412010
2021-10-28,610.75,646.52,604.90,632.34,2790810
2021-10-29,605.15,638.81,563.16,611.94,4320740
2021-11-01,600.45,614.38,594.03,614.13,1433956
2021-11-02,619.48,627.79,601.74,604.83,2561750
2021-11-03,602.51,627.14,595.55,621.89,1436236
2021-11-04,608.76,610.57,606.47,606.47,151860
2021-11-08,619.15,623.33,596.02,609.45,1007412
2021-11-09,616.67,623.38,612.84,621.89,1082664
2021-11-10,601.96,621.74,600.55,616.42,1073816
2021-11-11,597.71,606.44,594.53,604.85,1282718
2021-11-12,605.12,608.95,597.54,600.40,891538
2021-11-15,602.21,611.44,599.10,601.99,706618
2021-11-16,617.93,620.89,600.80,602.98,1125662
2021-11-17,619.25,624.30,612.04,617.91,2055564
2021-11-18,604.10,622.61,598.53,622.61,1479544
2021-11-22,592.66,612.31,584.10,607.46,2367468
2021-11-23,597.19,606.96,584.58,584.58,2023810
2021-11-24,599.40,607.44,593.03,598.51,611540
2021-11-25,592.51,618.53,588.06,608.81,1894504
2021-11-26,561.14,592.86,556.72,591.54,1786996
2021-11-29,548.83,556.79,537.34,556.22,1388386
2021-11-30,545.32,565.17,539.33,549.75,1489166
2021-12-01,559.13,561.69,545.75,547.79,1198578
2021-12-02,562.91,564.68,552.31,559.70,770528
2021-12-03,565.35,573.61,543.53,563.18,1474378
2021-12-06,557.14,569.15,553.31,568.16,779122
